Epoch,Train Accuracy,Validation Accuracy,Test Accuracy,Train Recall,Validation Recall,Test Recall,Train Specificity,Validation Specificity,Test Specificity,Train Precision,Validation Precision,Test Precision,Train F-Score,Validation F-Score,Test F-Score,Train Loss,Validation Loss,Test Loss
38,0.5734463276836158,0.570957095709571,0.5263157894736842,0.5734463276836158,0.570957095709571,0.5263157894736842,1.0,1.0,1.0,0.5312075612214519,0.5381250380373417,0.46976757708665606,0.5251153192381787,0.5322714694289181,0.47330149543996347,0.8631614439398804,1.266852317367663,0.5263157894736842
39,0.5889830508474576,0.5775577557755776,0.5427631578947368,0.5889830508474576,0.5775577557755776,0.5427631578947368,1.0,1.0,1.0,0.543965501448274,0.5478540452967686,0.48473926462765266,0.540578401971796,0.5396906819415679,0.49147325913736717,0.8435206343462137,1.2559976588286514,0.5427631578947368
40,0.5840395480225988,0.5841584158415841,0.5328947368421053,0.5840395480225988,0.5841584158415841,0.5328947368421053,1.0,1.0,1.0,0.543195501224974,0.5509980543755476,0.4728920532824619,0.5398547305587599,0.5456304682377018,0.48003728129407475,0.8254427571067913,1.2452337862856049,0.5328947368421053
41,0.576271186440678,0.5808580858085809,0.5296052631578947,0.576271186440678,0.5808580858085809,0.5296052631578947,1.0,1.0,1.0,0.5354600723662098,0.5490628857575344,0.4740927505465069,0.5274666824395734,0.5426139452467473,0.47628759560607953,0.8282730562309819,1.2350640123818335,0.5296052631578947
42,0.5953389830508474,0.5874587458745875,0.5427631578947368,0.5953389830508474,0.5874587458745875,0.5427631578947368,1.0,1.0,1.0,0.5501436557572832,0.5521648361056881,0.4811771135685875,0.5492011261969625,0.5503202718384692,0.4900188534987578,0.8296751845005501,1.2254118974322792,0.5427631578947368
43,0.5932203389830508,0.5874587458745875,0.5427631578947368,0.5932203389830508,0.5874587458745875,0.5427631578947368,1.0,1.0,1.0,0.5501558435266692,0.5536298410951428,0.4887155545250494,0.54932092716468,0.5490437849296212,0.4957991600580679,0.8057924743032084,1.2156533061967194,0.5427631578947368
44,0.58545197740113,0.5742574257425742,0.5493421052631579,0.58545197740113,0.5742574257425742,0.5493421052631579,1.0,1.0,1.0,0.5412602837494924,0.5399624458991404,0.4921754070008639,0.5388871709071772,0.5367031986520512,0.49746826873023886,0.812501721531208,1.2064907701815941,0.5493421052631579
45,0.596045197740113,0.5907590759075908,0.5592105263157895,0.596045197740113,0.5907590759075908,0.5592105263157895,1.0,1.0,1.0,0.5512538545677584,0.5536323594808933,0.5032124904945147,0.5521301152365248,0.5526443845878675,0.5109236314643338,0.8097618253729754,1.1976745714080692,0.5592105263157895
46,0.596045197740113,0.5841584158415841,0.5427631578947368,0.596045197740113,0.5841584158415841,0.5427631578947368,1.0,1.0,1.0,0.554535409908847,0.5434967272605311,0.48830828463974874,0.5538789991221534,0.5457515049855811,0.4957767876181721,0.7917071515820925,1.1888491927162002,0.5427631578947368
47,0.5988700564971752,0.5874587458745875,0.555921052631579,0.5988700564971752,0.5874587458745875,0.555921052631579,1.0,1.0,1.0,0.5551534906484398,0.5488716799498303,0.500624937220332,0.5561578480509547,0.5520479941688231,0.5095339834231027,0.7977562782423366,1.180528066876331,0.555921052631579
48,0.606638418079096,0.594059405940594,0.5592105263157895,0.606638418079096,0.594059405940594,0.5592105263157895,1.0,1.0,1.0,0.5591462717608962,0.5561263793079265,0.5017659255985334,0.5630797110052145,0.5601677993727646,0.5112373391753458,0.7885545622724804,1.1723619521970838,0.5592105263157895
49,0.6073446327683616,0.594059405940594,0.5592105263157895,0.6073446327683616,0.594059405940594,0.5592105263157895,1.0,1.0,1.0,0.5635316237511466,0.553539965405827,0.50358380319729,0.566416974563907,0.5598451514467823,0.5146598527770009,0.7773699836569384,1.1643008916146318,0.5592105263157895
50,0.6122881355932204,0.6006600660066007,0.5592105263157895,0.6122881355932204,0.6006600660066007,0.5592105263157895,1.0,1.0,1.0,0.5664395694502983,0.5570833671897338,0.5025911995306548,0.5723619061600813,0.5652352618863976,0.5142780056393246,0.7730809392319054,1.1564764925669773,0.5592105263157895
