componentes_principais,autovalores
PC733,0.007066162370081567
PC734,0.006698949392712561
PC735,0.006686422682521209
PC736,0.006576502527792195
PC737,0.007080356950175543
PC738,0.006816913092492675
PC739,0.006594808487267151
PC740,0.006653551349684727
PC741,0.007150767339054953
PC742,0.00017235861286713297
PC743,0.00019069284117557557
PC744,0.006288071003208707
PC745,0.006271183090390378
PC746,0.00619180923188329
PC747,0.006034699277993651
PC748,0.00611021944631849
PC749,0.005962194954891471
PC750,0.006101456390865207
PC751,0.005907413491794074
PC752,0.005868461775173917
PC753,0.0058450908064380525
PC754,0.005782791721926669
PC755,0.005758759049007458
PC756,0.005730502787831045
PC757,0.005650665350204793
PC758,0.0056388270384285
PC759,0.005591259633850209
PC760,0.00556529857124664
PC761,0.005518762083393335
PC762,0.005496468470517556
PC763,0.005315058502974589
PC764,0.005387462925845085
PC765,0.005398837709670687
PC766,0.004913495163977166
PC767,0.005212474780279032
PC768,0.005272483005217582
PC769,0.004888083713626975
PC770,0.0049887522517341265
PC771,0.005161473489158075
PC772,0.004873907918844852
PC773,0.004980058917298015
PC774,0.005197842720795435
PC775,0.0050697989980636755
PC776,0.005087093194224211
PC777,0.005142378241433994
PC778,0.00018060711295976483
PC779,0.00020103448278836506
PC780,0.004814878992442428
PC781,0.004700514192597325
PC782,0.004646676954401058
PC783,0.004624472519684274
PC784,0.004763230647580637
PC785,0.00477153545692113
PC786,0.004572436945826475
PC787,0.004549506581004555
PC788,0.004492069054793316
PC789,0.004453627935158935
PC790,0.004298399577326082
PC791,0.004421192866832575
PC792,0.004405801681030618
PC793,0.004369498684242226
PC794,0.004353602215438732
PC795,0.0042778525568624845
PC796,0.004211949336822718
PC797,0.004261822436525076
PC798,0.00413989555886265
PC799,0.004104644449208331
PC800,0.004070904233965373
PC801,0.004053164781942763
PC802,0.00416663005245044
PC803,0.004012643980724797
PC804,0.0038938403828511045
PC805,0.003870781635995383
PC806,0.0028582268965479155
PC807,0.003917101738337264
PC808,0.00395162986437996
PC809,0.0037827397162619077
PC810,0.0038108152889466647
PC811,0.002891881918888819
PC812,0.002904868326392491
PC813,0.0037275857609243234
PC814,0.003703231210779185
PC815,0.0036658851092777897
PC816,0.0029566621094723965
PC817,0.0029461313023816616
PC818,0.003672863079118561
PC819,0.0036139569995315302
PC820,0.0035952652889927245
PC821,0.0030204634118819688
PC822,0.003008447079839201
PC823,0.0035251293046547954
PC824,0.0030447787235517256
PC825,0.003570966689905437
PC826,0.0034606343549352606
PC827,0.0034549156138796587
PC828,0.0030840218082014608
PC829,0.003099196570457139
PC830,0.0031233721791821124
PC831,0.0032106570330877626
PC832,0.0031815525510235933
PC833,0.003333993646576296
PC834,0.0034309004861779262
PC835,0.0033480149867715268
PC836,0.0030778202669702157
PC837,0.0032435333590907158
PC838,0.003270272475545185
PC839,0.003254594054340174
PC840,0.003297799533271329
PC841,0.003315367791774804
PC842,0.0002172559969541479
PC843,0.0001759601291615982
PC844,0.00019635650730000695
PC845,0.002582428220510707
PC846,0.00263161167683564
PC847,0.0026403224126551102
PC848,0.002765315519048733
PC849,0.002731638067137537
PC850,0.002670108196168255
PC851,0.002677667727511715
PC852,0.0027141568298820074
PC853,0.0028015245883091285
PC854,0.002798065773291156
PC855,0.00016630577939786634
PC856,0.0002128911408598179
PC857,0.0025203763060318483
PC858,0.0025711804498525985
PC859,0.0024789765908592026
PC860,0.0024446205068657067
PC861,0.002425838830563606
PC862,0.0024086358117641933
PC863,0.002399714622739926
PC864,0.0023422667583126253
