Arquivo de saída: /home/pojucan/Área de Trabalho/231009/scripts/PCA/efetivos/arquivo_treinamento_suavizado_metricas10_100_50_10.csv

Época 40: MAE no treinamento = 0.1154, MAE na validação = 0.1260, MAE no teste = 0.1302
Época 40: MSE no treinamento = 0.0208, MSE na validação = 0.0239, MSE no teste = 0.0257
Época 40: R-squared no treinamento = 0.7454, R-squared na validação = 0.7242, R-squared no teste = 0.6836
Época 40: LOSS no treinamento = 0.0105, LOSS na validação = 0.7242, LOSS no teste = 0.6836
Época 41: MAE no treinamento = 0.1151, MAE na validação = 0.1255, MAE no teste = 0.1299
Época 41: MSE no treinamento = 0.0207, MSE na validação = 0.0238, MSE no teste = 0.0256
Época 41: R-squared no treinamento = 0.7462, R-squared na validação = 0.7256, R-squared no teste = 0.6845
Época 41: LOSS no treinamento = 0.0105, LOSS na validação = 0.7256, LOSS no teste = 0.6845
Época 42: MAE no treinamento = 0.1150, MAE na validação = 0.1257, MAE no teste = 0.1298
Época 42: MSE no treinamento = 0.0207, MSE na validação = 0.0238, MSE no teste = 0.0256
Época 42: R-squared no treinamento = 0.7470, R-squared na validação = 0.7249, R-squared no teste = 0.6850
Época 42: LOSS no treinamento = 0.0105, LOSS na validação = 0.7249, LOSS no teste = 0.6850
Época 43: MAE no treinamento = 0.1146, MAE na validação = 0.1252, MAE no teste = 0.1295
Época 43: MSE no treinamento = 0.0206, MSE na validação = 0.0237, MSE no teste = 0.0255
Época 43: R-squared no treinamento = 0.7478, R-squared na validação = 0.7262, R-squared no teste = 0.6856
Época 43: LOSS no treinamento = 0.0104, LOSS na validação = 0.7262, LOSS no teste = 0.6856
Época 44: MAE no treinamento = 0.1145, MAE na validação = 0.1253, MAE no teste = 0.1294
Época 44: MSE no treinamento = 0.0205, MSE na validação = 0.0237, MSE no teste = 0.0255
Época 44: R-squared no treinamento = 0.7486, R-squared na validação = 0.7262, R-squared no teste = 0.6861
Época 44: LOSS no treinamento = 0.0104, LOSS na validação = 0.7262, LOSS no teste = 0.6861
Época 45: MAE no treinamento = 0.1143, MAE na validação = 0.1251, MAE no teste = 0.1292
Época 45: MSE no treinamento = 0.0205, MSE na validação = 0.0237, MSE no teste = 0.0254
Época 45: R-squared no treinamento = 0.7495, R-squared na validação = 0.7267, R-squared no teste = 0.6867
Época 45: LOSS no treinamento = 0.0104, LOSS na validação = 0.7267, LOSS no teste = 0.6867
Época 46: MAE no treinamento = 0.1139, MAE na validação = 0.1247, MAE no teste = 0.1290
Época 46: MSE no treinamento = 0.0204, MSE na validação = 0.0236, MSE no teste = 0.0254
Época 46: R-squared no treinamento = 0.7503, R-squared na validação = 0.7276, R-squared no teste = 0.6874
Época 46: LOSS no treinamento = 0.0103, LOSS na validação = 0.7276, LOSS no teste = 0.6874
Época 47: MAE no treinamento = 0.1137, MAE na validação = 0.1247, MAE no teste = 0.1288
Época 47: MSE no treinamento = 0.0203, MSE na validação = 0.0236, MSE no teste = 0.0253
Época 47: R-squared no treinamento = 0.7510, R-squared na validação = 0.7275, R-squared no teste = 0.6880
Época 47: LOSS no treinamento = 0.0103, LOSS na validação = 0.7275, LOSS no teste = 0.6880
Época 48: MAE no treinamento = 0.1135, MAE na validação = 0.1244, MAE no teste = 0.1286
Época 48: MSE no treinamento = 0.0203, MSE na validação = 0.0235, MSE no teste = 0.0253
Época 48: R-squared no treinamento = 0.7517, R-squared na validação = 0.7282, R-squared no teste = 0.6886
Época 48: LOSS no treinamento = 0.0103, LOSS na validação = 0.7282, LOSS no teste = 0.6886
Época 49: MAE no treinamento = 0.1133, MAE na validação = 0.1244, MAE no teste = 0.1284
Época 49: MSE no treinamento = 0.0202, MSE na validação = 0.0236, MSE no teste = 0.0253
Época 49: R-squared no treinamento = 0.7524, R-squared na validação = 0.7278, R-squared no teste = 0.6890
Época 49: LOSS no treinamento = 0.0102, LOSS na validação = 0.7278, LOSS no teste = 0.6890
Época 50: MAE no treinamento = 0.1129, MAE na validação = 0.1239, MAE no teste = 0.1281
Época 50: MSE no treinamento = 0.0202, MSE na validação = 0.0235, MSE no teste = 0.0252
Época 50: R-squared no treinamento = 0.7531, R-squared na validação = 0.7292, R-squared no teste = 0.6897
Época 50: LOSS no treinamento = 0.0102, LOSS na validação = 0.7292, LOSS no teste = 0.6897
Época 51: MAE no treinamento = 0.1128, MAE na validação = 0.1238, MAE no teste = 0.1280
Época 51: MSE no treinamento = 0.0201, MSE na validação = 0.0235, MSE no teste = 0.0252
Época 51: R-squared no treinamento = 0.7537, R-squared na validação = 0.7292, R-squared no teste = 0.6901
Época 51: LOSS no treinamento = 0.0102, LOSS na validação = 0.7292, LOSS no teste = 0.6901
Época 52: MAE no treinamento = 0.1126, MAE na validação = 0.1235, MAE no teste = 0.1278
Época 52: MSE no treinamento = 0.0201, MSE na validação = 0.0234, MSE no teste = 0.0251
Época 52: R-squared no treinamento = 0.7543, R-squared na validação = 0.7299, R-squared no teste = 0.6908
Época 52: LOSS no treinamento = 0.0102, LOSS na validação = 0.7299, LOSS no teste = 0.6908
Época 53: MAE no treinamento = 0.1124, MAE na validação = 0.1235, MAE no teste = 0.1277
Época 53: MSE no treinamento = 0.0200, MSE na validação = 0.0234, MSE no teste = 0.0251
Época 53: R-squared no treinamento = 0.7550, R-squared na validação = 0.7299, R-squared no teste = 0.6911
Época 53: LOSS no treinamento = 0.0101, LOSS na validação = 0.7299, LOSS no teste = 0.6911
Época 54: MAE no treinamento = 0.1122, MAE na validação = 0.1234, MAE no teste = 0.1275
Época 54: MSE no treinamento = 0.0200, MSE na validação = 0.0234, MSE no teste = 0.0251
Época 54: R-squared no treinamento = 0.7555, R-squared na validação = 0.7299, R-squared no teste = 0.6914
Época 54: LOSS no treinamento = 0.0101, LOSS na validação = 0.7299, LOSS no teste = 0.6914
Época 55: MAE no treinamento = 0.1118, MAE na validação = 0.1227, MAE no teste = 0.1272
Época 55: MSE no treinamento = 0.0199, MSE na validação = 0.0232, MSE no teste = 0.0250
Época 55: R-squared no treinamento = 0.7562, R-squared na validação = 0.7320, R-squared no teste = 0.6920
Época 55: LOSS no treinamento = 0.0101, LOSS na validação = 0.7320, LOSS no teste = 0.6920
Época 56: MAE no treinamento = 0.1117, MAE na validação = 0.1228, MAE no teste = 0.1271
Época 56: MSE no treinamento = 0.0199, MSE na validação = 0.0232, MSE no teste = 0.0250
Época 56: R-squared no treinamento = 0.7568, R-squared na validação = 0.7317, R-squared no teste = 0.6925
Época 56: LOSS no treinamento = 0.0101, LOSS na validação = 0.7317, LOSS no teste = 0.6925
Época 57: MAE no treinamento = 0.1116, MAE na validação = 0.1229, MAE no teste = 0.1271
Época 57: MSE no treinamento = 0.0198, MSE na validação = 0.0233, MSE no teste = 0.0249
Época 57: R-squared no treinamento = 0.7572, R-squared na validação = 0.7312, R-squared no teste = 0.6927
Época 57: LOSS no treinamento = 0.0100, LOSS na validação = 0.7312, LOSS no teste = 0.6927
Época 58: MAE no treinamento = 0.1113, MAE na validação = 0.1223, MAE no teste = 0.1268
Época 58: MSE no treinamento = 0.0198, MSE na validação = 0.0232, MSE no teste = 0.0249
Época 58: R-squared no treinamento = 0.7579, R-squared na validação = 0.7327, R-squared no teste = 0.6932
Época 58: LOSS no treinamento = 0.0100, LOSS na validação = 0.7327, LOSS no teste = 0.6932
Época 59: MAE no treinamento = 0.1112, MAE na validação = 0.1224, MAE no teste = 0.1267
Época 59: MSE no treinamento = 0.0197, MSE na validação = 0.0232, MSE no teste = 0.0249
Época 59: R-squared no treinamento = 0.7585, R-squared na validação = 0.7325, R-squared no teste = 0.6936
Época 59: LOSS no treinamento = 0.0100, LOSS na validação = 0.7325, LOSS no teste = 0.6936
Época 60: MAE no treinamento = 0.1109, MAE na validação = 0.1221, MAE no teste = 0.1266
Época 60: MSE no treinamento = 0.0197, MSE na validação = 0.0231, MSE no teste = 0.0248
Época 60: R-squared no treinamento = 0.7589, R-squared na validação = 0.7331, R-squared no teste = 0.6940
Época 60: LOSS no treinamento = 0.0100, LOSS na validação = 0.7331, LOSS no teste = 0.6940
Época 61: MAE no treinamento = 0.1108, MAE na validação = 0.1222, MAE no teste = 0.1265
