componentes_principais,autovalores
PC841,0.0377251171795875
PC842,0.038894180374047876
PC843,0.03823826955737199
PC844,0.0961790543296802
PC845,0.09411728231335127
PC846,0.08988382983458319
PC847,0.04086323715195994
PC848,0.042156757495248
PC849,0.04178418109678476
PC850,0.04351890513171244
PC851,0.08765611522840487
PC852,0.04401395130441278
PC853,0.08635604274684498
PC854,0.04602201966135745
PC855,0.06721846092533751
PC856,0.06556381429438056
PC857,0.06393279714589874
PC858,0.07013764304659442
PC859,0.06143761677916257
PC860,0.05989660604953711
PC861,0.07234362964222249
PC862,0.0590671513259008
PC863,0.05142388788491304
PC864,0.05745314398462328
PC865,0.07812685946375605
PC866,0.08092664637672592
PC867,0.07642785163476964
PC868,0.08201046193390832
PC869,0.07498031144204237
PC870,0.0745247152438861
PC871,0.05076931983442697
PC872,0.05529538831778605
PC873,0.05461190937166591
PC874,1.3329951143412206
PC875,1.3373147462356094
PC876,1.3209403581913977
PC877,1.3097934440071872
PC878,0.268705962303417
PC879,0.2575986917591814
PC880,0.2807397333372321
PC881,0.263524634659755
PC882,0.2610802086980739
PC883,0.047212374065048086
PC884,0.04958751764215976
PC885,1.3034171065813798
PC886,1.2988969018103282
PC887,1.2829406044346432
PC888,1.2761345347978854
PC889,1.2734610744498607
PC890,1.2618543012075476
PC891,1.2521679029977837
PC892,1.0949132623288378
PC893,1.243047629772267
PC894,1.2371782986179822
PC895,1.2136800507537309
PC896,1.1148563821145667
PC897,1.2294481300890034
PC898,1.1202355658201202
PC899,1.1077346682247582
PC900,1.196543591401857
PC901,1.1412825644496758
PC902,1.1318244654588727
PC903,1.2266762197562284
PC904,1.1513653224508944
PC905,1.190033045242153
PC906,1.1634264592788175
PC907,1.1699870088860311
PC908,1.1730260207559675
PC909,0.30784144500267335
PC910,0.30144029737672473
PC911,0.29168016830858773
PC912,0.2899218700788505
PC913,0.28821088055089045
PC914,0.32184251213670245
PC915,0.3162819889781378
PC916,0.3272656137853834
PC917,0.08311886786110115
PC918,0.05406464648296961
PC919,0.04941565753101714
PC920,1.0867888334407774
PC921,1.0731150563374734
PC922,1.0383192507108583
PC923,0.3636506120264477
PC924,0.35977848897896897
PC925,1.059781811205746
PC926,0.330035732867539
PC927,0.35078556781043657
PC928,0.347850302841449
PC929,0.3385806362908779
PC930,0.34182760335236
PC931,1.066487202269528
PC932,1.0526305967485916
PC933,1.035941279017665
PC934,1.0256037032405811
PC935,1.007373944411864
PC936,0.969603407125081
PC937,0.979287447557344
PC938,1.0005842348331084
PC939,0.952096106702188
PC940,0.3707139515170331
PC941,1.013001270992959
PC942,0.9875500143888728
PC943,0.9433181081331748
PC944,0.9379615302790661
PC945,0.9245002312671317
PC946,0.3792511043698487
PC947,0.3894796201668859
PC948,0.38196784193120414
PC949,0.9311545316945444
PC950,0.4230405150943089
PC951,0.40994672790272974
PC952,0.4278335599806471
PC953,0.39936155133553697
PC954,0.4540262191347042
PC955,0.8968502067196449
PC956,0.46105851123021796
PC957,0.40182470424442895
PC958,0.3974925311991705
PC959,0.8844314427142244
PC960,0.8677222692120782
PC961,0.9943261120929162
PC962,0.9019438682096221
PC963,0.9034476370729315
PC964,0.44815797107741034
PC965,0.4342066067905537
PC966,0.8831402534539693
PC967,0.43157918139341156
PC968,0.8555701963604929
PC969,0.4655626794230336
PC970,0.4362718661651578
PC971,0.4858942300797448
PC972,0.47808063382998933
PC973,0.8597257326903245
PC974,0.8486152222388972
PC975,0.4948567506148334
PC976,0.8381763807609022
PC977,0.4915126456893254
PC978,0.8112859791625812
PC979,0.8321754511454628
PC980,0.8423159721879339
PC981,0.7912985665068559
PC982,0.5090451936172787
PC983,0.5118597108841313
PC984,0.7959705034934133
PC985,0.501801449654993
PC986,0.8221311770082425
PC987,0.5364076248919394
PC988,0.7790606136476196
PC989,0.5380510509838543
PC990,0.8054720724616301
PC991,0.5215409401504516
PC992,0.5876112623350713
PC993,0.5967193386603746
PC994,0.6032710965582158
PC995,0.606503452469874
PC996,0.5483233828246233
PC997,0.7613324795047949
PC998,0.6266933103323428
PC999,0.6333226273524802
PC1000,0.6178282183224826
PC1001,0.5658858195033296
PC1002,0.7158314385565737
PC1003,0.6392646339610771
PC1004,0.7040647528472882
PC1005,0.6974960928026961
PC1006,0.6934576581209365
PC1007,0.6456199273718175
PC1008,0.5586288447041974
PC1009,0.5559061044845592
PC1010,0.6502431242966064
PC1011,0.6723396196681769
PC1012,0.6745223128353085
PC1013,0.7239069413504076
PC1014,0.7721153569933561
PC1015,0.7417054207691813
PC1016,0.571015821236557
PC1017,0.7296703458327829
PC1018,0.7451070927703741
PC1019,0.5751506260610283
PC1020,0.735541917337235
PC1021,0.7488801134245083
PC1022,0.6630108674278862
PC1023,0.6570425168571457
PC1024,0.6832291044616711
